state,year,population,employment,gdp
Schleswig-Holstein,2009,-0.2485299312221195,-0.3604281255783987,-0.5118835946142887
Saarland,2008,-1.3914711342702866,-1.4060296872170353,-1.3277012156390822
Rhineland-Palatinate,2013,0.15221294741482297,0.0867101000639747,0.05546400080174103
Brandenburg,2024,-0.3406019849957631,-0.5160679091605361,-0.20450842988836274
North Rhine-Westphalia,2012,1.8268744642828134,1.8128048992600703,1.6283379203713395
Brandenburg,2008,-0.38090750664509854,-0.5997239752925682,-0.7666702529831543
Bremen,2023,-1.8360064029174796,-1.5846974864609304,-1.1002160333984639
Baden-Wurttemberg,2012,1.250305219623976,1.3241328432070807,1.2792043848181356
North Rhine-Westphalia,2013,1.827744165714399,1.8202312855195695,1.6475945898953535
Bavaria,2017,1.4843392778904247,1.6089609480976885,1.6615532708822391
Bavaria,2009,1.4313285968499556,1.4824002323740304,1.3114142917331209
Saxony-Anhalt,2018,-0.5137311615771866,-0.6607929850434726,-0.6569615593390973
Berlin,2024,0.09393521244527833,0.21952144473505303,0.5592494453623075
Schleswig-Holstein,2013,-0.24449949118220315,-0.3326069048933363,-0.40001093797506826
Hesse,1991,0.5742288223856999,0.5553193728328697,0.2349262146609998
Hesse,2024,0.6910719521227078,0.7843669480034114,1.1428994773383674
Saxony,2014,0.16866577994515453,0.11653476427986503,-0.07395270134432418
Rhineland-Palatinate,2014,0.15524020861003154,0.09557427875786703,0.0949170832734131
Rhineland-Palatinate,2019,0.17939223223576847,0.14147042435042828,0.23560007063683744
Mecklenburg-Western Pomerania,2019,-0.8756778249200781,-0.9765445602184678,-0.9187352631325849
Saxony-Anhalt,2009,-0.45490093685554783,-0.6424535762632194,-0.902046552493166
Bremen,2014,-1.8841779382757853,-1.642019370850284,-1.3826903763199405
Brandenburg,2015,-0.3902508847937251,-0.5770244479390156,-0.5878823432913038
Hamburg,2024,-0.678219024828,-0.32010875558273133,0.3096246534215884
Mecklenburg-Western Pomerania,2022,-0.868041206773338,-0.9763963443437321,-0.7721160115292622
Lower Saxony,2019,0.9366583949404066,0.9462536107074178,0.9828039497438188
Bavaria,1991,1.3505591635547147,1.3646554599565257,0.805350644846322
Lower Saxony,2017,0.9318624993595418,0.920350904573434,0.9096291365509414
Bremen,2009,-1.8950325140691489,-1.6833956395715695,-1.564212387968041
Saxony-Anhalt,2010,-0.4671788752774478,-0.6409111326953197,-0.8437536452624228
Hesse,2016,0.6490822297045454,0.7074949517276071,0.8642796883599544
Brandenburg,2021,-0.36169028771945333,-0.5317505922196413,-0.38997307103995427
Baden-Wurttemberg,2021,1.3101748351324207,1.4054994312589857,1.559913294392865
